player_id,avg_points,avg_rebounds,avg_assists,name,team_id
761,12.8,6.2,1.1,John Collins,1
1868,15.3,4.3,1.4,De'Andre Hunter,1
92,11.4,10.9,0.9,Clint Capela,1
1046,26.2,3.0,9.9,Trae Young,1
382,20.6,5.4,6.0,Dejounte Murray,1
2629,9.6,7.0,1.1,Onyeka Okongwu,1
2391,2.0,2.0,0.5,Chris Silva,1
3465,1.8,1.0,0.2,Tyrese Martin,1
3444,8.8,2.1,1.0,AJ Griffin,1
243,4.7,0.9,1.0,Justin Holiday,1
290,2.7,1.6,1.0,Frank Kaminsky,1
979,4.0,1.2,1.4,Aaron Holiday,1
3437,1.5,1.0,0.5,Tyson Etienne,1
3395,3.0,1.0,0.0,Malik Ellison,1
2325,7.0,1.0,0.0,Armoni Brooks,1
1855,3.7,3.1,0.5,Jarrett Culver,1
2608,1.5,0.9,0.7,Vit Krejci,1
2819,5.7,4.1,1.3,Jalen Johnson,1
2589,2.5,1.9,1.8,Trent Forrest,1
743,13.9,3.0,2.7,Bogdan Bogdanovic,1
2569,11.0,4.7,1.2,Saddiq Bey,1
1858,3.4,1.9,0.1,Bruno Fernando,1
2327,4.8,1.2,0.3,Garrison Mathews,1
3810,2.0,1.0,0.0,Donovan Williams,1
