player_id,avg_points,avg_rebounds,avg_assists,name,team_id
1897,15.6,4.9,2.4,P.J. Washington,5
426,11.9,9.5,3.6,Mason Plumlee,5
2566,22.6,6.3,8.3,LaMelo Ball,5
458,20.9,4.1,5.0,Terry Rozier,5
407,19.7,5.2,1.1,Kelly Oubre Jr.,5
1880,10.2,4.7,1.9,Jalen McDaniels,5
2823,3.3,2.7,0.3,Kai Jones,5
2856,4.0,2.2,0.5,JT Thor,5
2639,8.2,6.4,0.6,Nick Richards,5
3506,8.7,6.8,0.4,Mark Williams,5
2793,5.7,2.3,1.2,James Bouknight,5
2990,2.5,0.2,1.0,Jalen Crutcher,5
2567,1.5,0.0,0.5,LiAngelo Ball,5
3469,5.3,2.0,1.1,Bryce McGowens,5
227,14.5,4.3,4.0,Gordon Hayward,5
876,8.7,3.0,4.7,Dennis Smith Jr.,5
2645,3.4,1.2,1.0,Xavier Sneed,5
3434,0.0,0.0,0.0,Anthony Duruji,5
1879,5.4,3.6,1.5,Cody Martin,5
2614,6.7,2.8,3.5,Theo Maledon,5
1006,10.6,2.4,2.7,Svi Mykhailiuk,5
873,1.0,0.8,1.0,Kobi Simmons,5
