player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2664,10.1,3.9,1.2,Patrick Williams,6
136,24.4,4.6,5.1,DeMar DeRozan,6
534,17.4,10.9,3.2,Nikola Vucevic,6
308,24.3,4.4,4.1,Zach LaVine,6
2802,8.5,2.7,2.5,Ayo Dosunmu,6
3380,2.6,0.9,0.1,Malcolm Hill,6
928,2.0,2.5,0.5,Kostas Antetokounmpo,6
2404,6.2,3.0,0.7,Javonte Green,6
283,4.8,2.3,0.5,Derrick Jones Jr.,6
147,6.1,6.6,0.6,Andre Drummond,6
748,1.6,1.1,0.1,Tony Bradley,6
146,6.5,1.3,2.7,Goran Dragic,6
1900,9.7,2.8,2.8,Coby White,6
631,5.9,2.9,2.9,Alex Caruso,6
3081,2.4,0.7,1.3,Carlik Jones,6
3494,2.6,1.2,0.8,Dalen Terry,6
2643,0.9,0.2,0.0,Marko Simonovic,6
3440,8.0,1.0,0.0,Javon Freeman-Liberty,6
53,5.4,4.7,3.4,Patrick Beverley,6
2853,4.0,1.6,0.0,Terry Taylor,6
