player_id,avg_points,avg_rebounds,avg_assists,name,team_id
326,8.5,6.8,1.8,Kevin Love,7
727,13.8,9.5,1.7,Jarrett Allen,7
1860,21.4,2.6,7.6,Darius Garland,7
317,12.3,3.8,3.8,Caris LeVert,7
840,27.5,4.3,4.6,Donovan Mitchell,7
2392,4.7,3.4,0.8,Dean Wade,7
2580,3.6,1.8,0.3,Mamadi Diakite,7
2647,5.2,3.3,0.5,Lamar Stevens,7
3472,2.8,2.3,0.4,Isaiah Mobley,7
854,8.5,2.4,1.5,Cedi Osman,7
2630,6.6,2.4,1.1,Isaac Okoro,7
325,2.9,1.4,0.5,Robin Lopez,7
390,3.4,1.0,1.7,Raul Neto,7
2800,6.0,1.0,0.3,Sharife Cooper,7
2901,2.5,1.2,1.2,RJ Nembhard Jr.,7
2672,2.7,1.3,0.3,Nate Hinton,7
2835,15.7,9.0,2.8,Evan Mobley,7
2840,0.0,2.0,1.0,Jamorko Pickett,7
459,4.8,2.1,3.3,Ricky Rubio,7
203,4.6,1.4,0.4,Danny Green,7
2623,5.0,1.8,1.0,Sam Merrill,7
1903,1.7,0.0,0.3,Dylan Windler,7
