player_id,avg_points,avg_rebounds,avg_assists,name,team_id
175,8.9,4.5,1.4,Dorian Finney-Smith,8
82,7.2,3.6,1.4,Reggie Bullock,8
433,6.6,4.1,0.9,Dwight Powell,8
142,17.1,2.9,5.2,Spencer Dinwiddie,8
2593,8.9,3.0,1.7,Josh Green,8
3578,3.0,1.0,0.0,Marcus Bingham Jr.,8
3445,2.0,1.5,1.0,Mouhamadou Gueye,8
560,16.6,7.4,1.8,Christian Wood,8
850,3.0,1.3,1.2,Frank Ntilikina,8
2865,4.1,1.9,2.4,McKinley Wright IV,8
1013,2.3,1.6,1.2,Theo Pinson,8
767,4.0,2.0,0.0,Tyler Dorsey,8
2676,3.0,2.0,0.5,Tyler Hall,8
3407,8.8,1.8,1.3,Jaden Hardy,8
353,4.5,2.6,0.2,JaVale McGee,8
963,32.0,8.5,7.9,Luka Doncic,8
817,5.9,3.5,1.4,Maxi Kleber,8
215,14.3,3.5,1.8,Tim Hardaway Jr.,8
2573,1.2,0.2,1.1,Facundo Campazzo,8
52,4.6,1.2,0.5,Davis Bertans,8
538,8.0,1.8,2.1,Kemba Walker,8
2890,3.9,1.4,0.1,A.J. Lawson,8
2391,2.0,0.0,0.0,Chris Silva,8
261,26.9,5.0,6.0,Kyrie Irving,8
243,4.4,1.8,0.9,Justin Holiday,8
374,4.5,1.5,0.8,Markieff Morris,8
