player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2827,9.1,3.2,1.7,Jonathan Kuminga,11
548,17.0,5.1,2.2,Andrew Wiggins,11
322,7.0,9.8,2.6,Kevon Looney,11
124,29.5,5.9,6.2,Stephen Curry,11
1887,19.1,2.7,4.4,Jordan Poole,11
206,6.2,3.4,0.9,JaMychal Green,11
2609,6.1,3.3,1.4,Anthony Lamb,11
3413,3.7,1.3,0.3,Patrick Baldwin Jr.,11
2666,7.7,3.7,0.7,James Wiseman,11
1899,4.0,2.0,1.5,Quinndary Weatherspoon,11
962,8.7,4.3,3.5,Donte DiVincenzo,11
1870,6.7,1.7,2.9,Ty Jerome,11
2836,5.2,1.8,0.8,Moses Moody,11
3492,5.5,3.0,1.5,Pat Spencer,11
1019,7.0,4.0,1.0,Jerome Robinson,11
3480,3.4,0.8,0.8,Lester Quinones,11
3484,2.7,0.9,0.8,Ryan Rollins,11
204,8.6,7.2,6.8,Draymond Green,11
514,21.3,4.1,2.3,Klay Thompson,11
256,2.1,2.1,2.4,Andre Iguodala,11
593,6.4,3.9,0.9,Gary Payton II,11
