player_id,avg_points,avg_rebounds,avg_assists,name,team_id
1858,4.0,4.2,0.9,Bruno Fernando,14
2617,12.6,5.5,1.6,Kenyon Martin Jr.,14
2650,8.8,3.7,2.6,Jae'Sean Tate,14
1888,19.2,5.4,5.6,Kevin Porter Jr.,14
2810,22.3,3.7,3.7,Jalen Green,14
2806,3.0,4.2,0.9,Usman Garuba,14
3435,9.5,6.1,1.1,Tari Eason,14
169,0.0,3.0,1.0,Derrick Favors,14
337,3.1,1.9,0.3,Boban Marjanovic,14
2614,5.0,1.0,2.0,Theo Maledon,14
2327,4.7,1.3,0.5,Garrison Mathews,14
2799,6.0,1.2,1.2,Josh Christopher,14
3154,4.0,1.7,2.3,Daishen Nix,14
3497,4.8,1.4,1.5,TyTy Washington Jr.,14
2847,14.6,8.9,3.9,Alperen Sengun,14
3450,1.3,0.1,1.0,Trevor Hudgins,14
196,13.1,2.0,2.9,Eric Gordon,14
3489,12.8,7.2,1.3,Jabari Smith Jr.,14
3430,3.8,1.5,0.2,Darius Days,14
290,1.8,1.6,1.1,Frank Kaminsky,14
