player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2644,9.4,5.8,0.9,Jalen Smith,15
522,17.5,7.4,1.5,Myles Turner,15
2595,20.5,3.6,10.3,Tyrese Haliburton,15
236,16.5,4.9,2.8,Buddy Hield,15
2803,8.2,2.6,1.5,Chris Duarte,15
274,2.9,1.7,0.8,James Johnson,15
1894,3.0,0.0,0.0,Deividas Sirvydis,15
2817,7.3,4.4,0.8,Isaiah Jackson,15
2110,6.0,3.4,0.7,Oshae Brissett,15
2626,10.1,3.8,1.3,Aaron Nesmith,15
348,8.5,3.2,5.3,T.J. McConnell,15
182,1.7,1.0,0.0,Langston Galloway,15
2853,2.8,1.7,0.4,Terry Taylor,15
3476,9.4,2.7,4.6,Andrew Nembhard,15
3423,2.3,0.9,0.7,Kendall Brown,15
3466,16.8,4.1,1.5,Bennedict Mathurin,15
1848,3.8,2.5,1.1,Goga Bitadze,15
2671,3.0,2.4,0.9,Trevelin Queen,15
886,7.0,3.1,1.3,Daniel Theis,15
2628,13.0,4.7,2.1,Jordan Nwora,15
237,5.2,1.6,1.9,George Hill,15
1963,8.0,2.0,1.7,Gabe York,15
