player_id,avg_points,avg_rebounds,avg_assists,name,team_id
40,5.9,3.7,1.5,Nicolas Batum,16
314,23.7,6.3,3.9,Kawhi Leonard,16
575,10.6,9.7,1.0,Ivica Zubac,16
264,10.6,2.2,3.5,Reggie Jackson,16
189,23.1,6.1,5.1,Paul George,16
118,5.8,3.3,1.2,Robert Covington,16
3431,3.0,2.7,0.2,Moussa Diabate,16
434,17.4,3.0,1.8,Norman Powell,16
2160,4.3,3.9,0.1,Moses Brown,16
539,11.3,2.6,5.1,John Wall,16
3396,2.6,0.9,1.7,Xavier Moon,16
814,7.8,2.3,1.1,Luke Kennard,16
2115,3.5,1.1,1.1,Amir Coffey,16
2792,6.3,1.3,0.8,Brandon Boston Jr.,16
3896,5.0,1.0,1.0,Lucas Williamson,16
373,11.1,3.9,1.7,Marcus Morris Sr.,16
2842,2.5,1.6,1.8,Jason Preston,16
1877,8.9,3.4,2.3,Terance Mann,16
2586,4.0,0.0,0.0,Malik Fitts,16
2578,0.0,0.0,1.0,Nate Darling,16
426,7.6,6.9,1.8,Mason Plumlee,16
2816,10.2,2.8,2.7,Bones Hyland,16
196,10.8,1.6,2.2,Eric Gordon,16
544,17.3,5.4,7.5,Russell Westbrook,16
