player_id,avg_points,avg_rebounds,avg_assists,name,team_id
126,24.9,12.8,2.6,Anthony Davis,17
265,27.5,8.5,6.6,LeBron James,17
281,2.4,2.4,0.3,Damian Jones,17
544,15.4,6.0,7.3,Russell Westbrook,17
1007,7.4,1.5,1.0,Kendrick Nunn,17
970,4.9,3.7,0.4,Wenyen Gabriel,17
3493,4.3,2.1,0.6,Cole Swider,17
1934,3.0,2.1,0.8,Juan Toscano-Anderson,17
753,11.5,6.5,0.7,Thomas Bryant,17
53,6.5,3.1,2.6,Patrick Beverley,17
2845,13.3,3.4,3.6,Austin Reaves,17
3477,3.8,1.5,1.2,Scotty Pippen Jr.,17
3427,3.1,1.9,0.6,Max Christie,17
3195,5.1,1.1,0.2,Matt Ryan,17
734,5.5,4.0,2.0,Dwayne Bacon,17
2814,4.0,7.0,2.0,Jay Huff,17
1038,10.7,1.8,1.2,Lonnie Walker IV,17
626,1.3,0.6,1.0,Shaquille Harrison,17
472,11.5,2.4,4.1,Dennis Schroder,17
945,6.3,3.8,1.2,Troy Brown Jr.,17
751,0.0,2.0,0.5,Sterling Brown,17
1862,10.5,4.3,0.7,Rui Hachimura,17
462,15.0,2.9,5.4,D'Angelo Russell,17
1036,6.1,5.4,1.3,Jarred Vanderbilt,17
46,8.6,2.5,0.9,Malik Beasley,17
865,1.0,0.5,0.5,Davon Reed,17
932,2.8,3.7,0.4,Mo Bamba,17
515,1.8,1.7,0.3,Tristan Thompson,17
