player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2621,11.9,3.9,1.8,Jaden McDaniels,22
18,9.1,5.2,4.8,Kyle Anderson,22
2584,24.2,5.7,4.4,Anthony Edwards,22
2146,11.6,5.1,1.1,Naz Reid,22
1882,10.4,2.5,1.8,Jaylen Nowell,22
437,9.0,2.4,1.5,Taurean Prince,22
1886,1.0,1.0,1.0,Eric Paschall,22
2607,3.9,1.6,0.4,Nathan Knight,22
3474,1.7,0.7,0.6,Wendell Moore Jr.,22
3470,2.6,1.5,0.3,Josh Minott,22
2807,6.6,2.2,0.6,Luka Garza,22
997,3.5,1.3,3.3,Jordan McLaughlin,22
448,4.6,1.5,1.4,Austin Rivers,22
176,4.6,0.8,0.6,Bryn Forbes,22
2890,2.5,0.8,1.5,A.J. Lawson,22
192,13.5,11.6,1.3,Rudy Gobert,22
462,17.6,3.0,6.2,D'Angelo Russell,22
2585,1.0,2.5,0.5,CJ Elleby,22
519,20.5,8.5,4.4,Karl-Anthony Towns,22
3195,3.4,0.5,0.5,Matt Ryan,22
114,14.0,3.1,5.1,Mike Conley,22
1845,6.7,2.0,1.6,Nickeil Alexander-Walker,22
