player_id,avg_points,avg_rebounds,avg_assists,name,team_id
1902,24.2,6.6,4.4,Zion Williamson,23
2822,9.8,3.9,2.4,Herbert Jones,23
2668,9.2,3.6,2.4,Naji Marshall,23
525,14.0,10.1,1.9,Jonas Valanciunas,23
347,20.3,4.3,5.6,CJ McCollum,23
385,6.8,5.4,1.8,Larry Nance Jr.,23
507,2.0,0.9,0.5,Garrett Temple,23
231,7.5,5.0,0.9,Willy Hernangomez,23
1864,5.1,3.1,0.8,Jaxson Hayes,23
973,5.7,1.4,2.3,Devonte' Graham,23
2941,9.1,2.4,3.1,Jose Alvarado,23
3170,0.0,1.0,0.5,John Petty Jr.,23
3478,4.0,1.6,0.4,Daeqwon Plowden,23
3486,2.6,1.0,0.1,Dereon Seabron,23
3406,4.1,3.2,2.3,Dyson Daniels,23
2837,14.6,3.6,1.4,Trey Murphy III,23
3597,0.0,1.0,1.0,John Butler Jr.,23
1514,1.0,1.5,0.0,Kelan Martin,23
2917,0.0,1.0,0.5,Javonte Smart,23
260,24.7,5.4,5.8,Brandon Ingram,23
2611,4.4,1.3,0.9,Kira Lewis Jr.,23
446,7.6,2.4,1.7,Josh Richardson,23
