player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2846,6.7,4.1,1.0,Jeremiah Robinson-Earl,25
1044,8.0,4.9,2.0,Kenrich Williams,25
2633,8.3,4.8,2.2,Aleksej Pokusevski,25
2831,8.2,2.2,1.9,Tre Mann,25
2808,16.5,7.7,6.2,Josh Giddey,25
1847,6.0,3.8,1.0,Darius Bazley,25
3532,0.0,0.0,0.0,Sacha Killeya-Jones,25
3404,5.5,2.0,0.8,Lindy Waters III,25
2838,6.3,2.6,0.5,Eugene Omoruyi,25
3505,5.8,5.3,1.7,Jaylin Williams,25
3504,14.1,4.4,3.4,Jalen Williams,25
3432,5.6,2.7,1.2,Ousmane Dieng,25
723,4.2,3.0,0.2,David Nwaba,25
2863,7.0,3.0,1.1,Aaron Wiggins,25
2667,2.0,2.5,0.5,Robert Woodard II,25
2040,14.0,4.6,2.1,Luguentz Dort,25
3925,6.0,1.0,1.0,Jaden Shackelford,25
971,0.0,0.0,0.0,Abdul Gaddy,25
972,31.3,4.9,5.4,Shai Gilgeous-Alexander,25
384,6.2,3.1,0.9,Mike Muscala,25
2604,9.3,2.4,1.2,Isaiah Joe,25
468,7.0,3.2,0.8,Dario Saric,25
2796,6.2,0.7,1.3,Jared Butler,25
3399,4.0,3.4,0.4,Olivier Sarr,25
