player_id,avg_points,avg_rebounds,avg_assists,name,team_id
3414,19.6,6.8,3.6,Paolo Banchero,26
950,14.9,8.6,2.4,Wendell Carter Jr.,26
932,7.3,4.6,1.0,Mo Bamba,26
2563,13.0,4.6,3.8,Cole Anthony,26
2852,9.5,2.9,2.9,Jalen Suggs,26
1883,4.8,3.3,1.5,Chuma Okeke,26
3394,2.3,2.0,0.3,Aleem Ford,26
3449,4.0,2.0,0.6,Caleb Houstan,26
1037,10.2,4.3,1.4,Moritz Wagner,26
1849,8.8,5.8,1.0,Bol Bol,26
2597,6.1,1.8,1.7,R.J. Hampton,26
457,8.2,2.0,1.2,Terrence Ross,26
2532,4.0,2.0,0.8,Devin Cannady,26
2678,1.5,1.5,2.5,Zavier Simpson,26
2677,4.2,2.1,0.5,Kevon Harris,26
2858,18.4,4.2,3.6,Franz Wagner,26
1892,4.2,1.7,0.9,Admiral Schofield,26
220,8.3,2.0,1.2,Gary Harris,26
779,13.9,3.9,5.7,Markelle Fultz,26
801,5.0,4.0,0.5,Jonathan Isaac,26
1848,5.8,5.2,1.2,Goga Bitadze,26
95,4.2,1.2,1.8,Michael Carter-Williams,26
2641,6.5,3.0,0.5,Jay Scrubb,26
