player_id,avg_points,avg_rebounds,avg_assists,name,team_id
222,14.4,5.9,2.4,Tobias Harris,27
2638,4.2,4.0,0.5,Paul Reed,27
2619,20.2,3.1,3.3,Tyrese Maxey,27
1896,2.8,1.3,0.4,Matisse Thybulle,27
998,9.7,4.0,2.5,De'Anthony Melton,27
3439,1.2,1.8,0.2,Michael Foster Jr.,27
391,7.6,2.1,0.9,Georges Niang,27
218,5.8,2.8,0.6,Montrezl Harrell,27
2790,4.0,9.0,2.0,Charles Bassey,27
1001,7.9,2.4,3.0,Shake Milton,27
818,3.8,1.2,0.6,Furkan Korkmaz,27
2604,8.0,1.0,1.5,Isaiah Joe,27
2111,2.2,1.5,0.0,Charlie Brown Jr.,27
2671,4.0,1.0,1.0,Trevelin Queen,27
2851,2.7,0.8,0.4,Jaden Springer,27
3425,3.7,2.0,0.5,Julian Champagnie,27
520,3.7,4.0,0.9,P.J. Tucker,27
159,31.5,10.0,3.9,Joel Embiid,27
216,20.5,6.0,10.0,James Harden,27
249,4.6,1.7,0.7,Danuel House Jr.,27
2610,3.0,0.0,1.0,Saben Lee,27
1880,5.6,2.9,0.8,Jalen McDaniels,27
131,3.1,2.9,1.1,Dewayne Dedmon,27
2833,12.5,5.0,4.5,Mac McClung,27
2131,20.0,4.0,2.0,Louis King,27
