player_id,avg_points,avg_rebounds,avg_assists,name,team_id
1871,13.1,3.7,1.4,Cameron Johnson,28
940,16.9,4.3,3.6,Mikal Bridges,28
930,17.3,9.9,1.6,Deandre Ayton,28
415,13.6,4.3,8.8,Chris Paul,28
64,28.5,4.5,5.7,Devin Booker,28
468,6.0,3.8,1.5,Dario Saric,28
2859,3.8,2.2,0.8,Ish Wainright,28
765,7.2,5.0,1.4,Torrey Craig,28
1485,6.8,4.2,1.0,Jock Landale,28
417,9.8,2.2,4.2,Cameron Payne,28
804,0.0,1.0,0.0,Frank Jackson,28
2860,8.4,1.2,2.2,Duane Washington Jr.,28
599,7.6,3.0,1.2,Damion Lee,28
329,8.0,4.3,1.3,Timothe Luwawu-Cabarrot,28
1022,8.1,1.7,2.1,Landry Shamet,28
1010,6.9,3.3,1.4,Josh Okogie,28
54,4.3,4.3,0.9,Bismack Biyombo,28
2610,6.4,1.9,2.8,Saben Lee,28
540,3.8,2.5,0.7,T.J. Warren,28
457,7.8,2.9,1.6,Terrence Ross,28
153,27.7,7.7,4.7,Kevin Durant,28
1847,4.0,2.3,0.9,Darius Bazley,28
