player_id,avg_points,avg_rebounds,avg_assists,name,team_id
200,20.0,4.4,2.3,Jerami Grant,29
398,13.4,8.9,2.8,Jusuf Nurkic,29
319,31.3,4.7,7.2,Damian Lillard,29
791,9.1,8.1,3.8,Josh Hart,29
1023,20.5,2.5,4.0,Anfernee Simons,29
558,6.8,4.9,3.3,Justise Winslow,29
966,6.4,5.2,1.3,Drew Eubanks,29
2795,2.6,1.3,0.2,Greg Brown III,29
3481,6.7,1.7,0.3,Jared Rhoden,29
3496,4.0,2.3,0.6,Jabari Walker,29
1875,6.7,2.6,0.9,Nassir Little,29
3399,4.0,2.8,0.8,Olivier Sarr,29
3398,8.0,1.0,2.3,Brandon Williams,29
2820,5.1,1.3,1.8,Keon Johnson,29
3487,10.0,2.9,1.1,Shaedon Sharpe,29
2387,3.0,3.5,0.0,Devontae Cacok,29
3136,2.2,1.8,1.5,Isaiah Miller,29
2861,7.3,3.7,2.1,Trendon Watford,29
802,5.0,3.0,1.0,Wes Iwundu,29
3597,2.4,0.9,0.6,John Butler Jr.,29
593,4.1,2.6,1.5,Gary Payton II,29
1889,10.9,2.9,1.9,Cam Reddish,29
1896,7.4,3.5,1.4,Matisse Thybulle,29
987,8.5,3.3,0.9,Kevin Knox II,29
609,2.6,1.2,2.3,Ryan Arcidiacono,29
2620,15.3,3.2,8.3,Skylar Mays,29
626,8.8,4.4,6.0,Shaquille Harrison,29
3931,10.6,3.0,2.0,Jeenathan Williams,29
3714,4.2,3.8,1.0,Justin Minaya,29
1336,7.0,3.0,0.0,Chance Comanche,29
