player_id,avg_points,avg_rebounds,avg_assists,name,team_id
463,18.6,12.1,6.9,Domantas Sabonis,30
1884,1.4,1.0,0.4,KZ Okpala,30
36,14.5,4.4,1.5,Harrison Barnes,30
776,24.8,4.2,6.1,De'Aaron Fox,30
980,14.5,3.4,2.8,Kevin Huerter,30
331,7.4,4.1,0.9,Trey Lyles,30
999,4.7,2.9,0.6,Chimezie Metu,30
3473,2.0,1.2,0.8,Chima Moneke,30
44,4.0,1.0,1.5,Kent Bazemore,30
3475,12.1,4.8,1.2,Keegan Murray,30
313,2.1,2.5,0.4,Alex Len,30
246,3.3,2.0,0.2,Richaun Holmes,30
2844,2.5,2.5,0.6,Neemias Queta,30
581,6.5,1.0,1.0,Quinn Cook,30
2834,5.7,1.3,2.3,Davion Mitchell,30
2168,6.8,2.2,1.1,Terence Davis,30
842,13.8,2.9,3.8,Malik Monk,30
2623,4.5,2.0,0.5,Sam Merrill,30
134,1.4,0.5,1.4,Matthew Dellavedova,30
3436,1.5,0.4,0.4,Keon Ellis,30
770,1.6,0.8,0.5,P.J. Dozier,30
947,0.0,0.0,0.0,Deonte Burton,30
2805,3.0,1.7,0.8,Kessler Edwards,30
