player_id,avg_points,avg_rebounds,avg_assists,name,team_id
934,9.5,3.6,1.5,Keita Bates-Diop,31
428,11.6,8.9,3.1,Jakob Poeltl,31
2606,12.8,3.7,6.4,Tre Jones,31
446,11.4,2.8,3.2,Josh Richardson,31
2661,18.4,3.8,3.5,Devin Vassell,31
1890,4.1,2.7,0.9,Isaiah Roby,31
762,11.5,6.3,2.8,Zach Collins,31
983,1.9,2.7,0.4,Alize Johnson,31
3490,10.5,5.2,2.4,Jeremy Sochan,31
351,10.3,2.1,1.4,Doug McDermott,31
141,3.9,3.7,1.8,Gorgui Dieng,31
1874,6.6,2.5,1.1,Romeo Langford,31
3459,6.0,0.5,1.5,Tommy Kuhse,31
3419,9.9,2.7,1.9,Malaki Branham,31
3499,4.8,2.2,2.5,Blake Wesley,31
3446,2.5,1.4,1.0,Jordan Hall,31
3415,4.1,3.6,0.8,Dominick Barlow,31
2862,1.5,0.0,0.5,Joe Wieskamp,31
1872,21.9,5.0,2.9,Keldon Johnson,31
2843,10.2,2.7,3.7,Joshua Primo,31
2790,5.7,5.5,1.3,Charles Bassey,31
276,5.9,3.2,2.2,Stanley Johnson,31
973,12.9,2.5,4.0,Devonte' Graham,31
2830,10.8,6.8,2.4,Sandro Mamukelashvili,31
3425,11.0,4.0,0.7,Julian Champagnie,31
