player_id,avg_points,avg_rebounds,avg_assists,name,team_id
479,24.0,7.8,5.6,Pascal Siakam,38
732,16.6,4.8,1.9,O.G. Anunoby,38
2789,15.1,6.6,4.7,Scottie Barnes,38
527,19.1,4.1,7.1,Fred VanVleet,38
1058,16.9,2.6,1.6,Gary Trent Jr.,38
570,4.3,3.1,1.4,Thaddeus Young,38
745,9.2,5.4,0.4,Chris Boucher,38
2561,9.3,6.0,0.9,Precious Achiuwa,38
899,5.7,3.7,0.7,D.J. Wilson,38
230,2.8,2.9,0.6,Juancho Hernangomez,38
3422,3.7,1.3,0.0,Gabe Brown,38
3458,3.3,2.9,0.5,Christian Koloko,38
739,2.5,1.6,0.5,Khem Birch,38
2788,5.4,1.7,1.3,Dalano Banton,38
805,4.2,1.5,0.8,Josh Jackson,38
2878,2.9,1.0,1.2,Jeff Dowtin,38
3447,1.8,0.6,0.4,Ron Harper Jr.,38
2798,2.8,2.2,0.2,Justin Champagnie,38
2587,4.6,1.4,1.3,Malachi Flynn,38
430,5.5,2.4,1.0,Otto Porter Jr.,38
2862,1.0,0.4,0.3,Joe Wieskamp,38
428,12.9,9.1,2.2,Jakob Poeltl,38
38,4.2,1.5,1.0,Will Barton,38
