player_id,avg_points,avg_rebounds,avg_assists,name,team_id
2590,3.3,1.7,0.6,Anthony Gill,41
38,7.8,2.7,2.5,Will Barton,41
820,20.9,7.1,3.7,Kyle Kuzma,41
432,23.1,8.3,2.6,Kristaps Porzingis,41
845,10.1,3.3,5.3,Monte Morris,41
1862,13.3,4.3,1.2,Rui Hachimura,41
1859,9.0,5.5,1.1,Daniel Gafford,41
2574,1.1,1.3,0.2,Vernon Carey Jr.,41
2582,1.0,1.5,1.5,Devon Dotson,41
564,7.4,3.6,3.8,Delon Wright,41
3341,6.5,3.3,2.7,Jordan Goodwin,41
3428,5.6,2.3,1.0,Johnny Davis,41
3452,6.1,0.9,1.7,Quenton Jackson,41
45,23.1,3.9,5.4,Bradley Beal,41
2857,2.0,1.9,0.6,Isaiah Todd,41
190,3.6,1.9,0.7,Taj Gibson,41
2564,9.2,6.4,2.8,Deni Avdija,41
2914,1.5,0.0,0.5,Jordan Schakel,41
2825,11.1,2.8,1.2,Corey Kispert,41
1007,7.5,1.7,1.8,Kendrick Nunn,41
3418,0.0,1.0,0.0,Jamaree Bouyea,41
2814,7.3,3.0,1.4,Jay Huff,41
1191,3.8,3.8,0.6,Xavier Cooks,41
