player_id,avg_points,avg_rebounds,avg_assists,name,team_id
4,8.3,11.2,2.3,Steven Adams,19
18,9.1,5.2,4.8,Kyle Anderson,22
20,30.5,11.7,5.6,Giannis Antetokounmpo,21
36,14.5,4.4,1.5,Harrison Barnes,30
38,6.0,2.1,1.75,Will Barton,38
40,5.9,3.7,1.5,Nicolas Batum,16
44,4.0,1.0,1.5,Kent Bazemore,30
45,23.1,3.9,5.4,Bradley Beal,41
46,10.899999999999999,3.0,1.3,Malik Beasley,17
52,4.6,1.2,0.5,Davis Bertans,8
53,5.95,3.9000000000000004,3.0,Patrick Beverley,17
54,4.3,4.3,0.9,Bismack Biyombo,28
60,20.9,3.8,2.5,Bojan Bogdanovic,10
64,28.5,4.5,5.7,Devin Booker,28
71,14.1,4.0,3.6,Malcolm Brogdon,2
75,25.6,6.5,3.4,Jaylen Brown,2
82,7.2,3.6,1.4,Reggie Bullock,8
84,12.8,3.1,2.2,Alec Burks,10
86,23.6,5.9,5.4,Jimmy Butler,20
89,10.6,2.8,2.2,Kentavious Caldwell-Pope,9
92,11.4,10.9,0.9,Clint Capela,1
95,4.2,1.2,1.8,Michael Carter-Williams,26
109,20.5,4.0,4.4,Jordan Clarkson,40
114,12.4,2.8,6.3,Mike Conley,22
115,7.9,4.6,1.3,Pat Connaughton,21
118,5.8,3.3,1.2,Robert Covington,16
121,6.0,3.3,1.4,Jae Crowder,21
123,9.2,1.6,1.6,Seth Curry,4
124,29.5,5.9,6.2,Stephen Curry,11
126,24.9,12.8,2.6,Anthony Davis,17
131,4.3,3.25,0.8,Dewayne Dedmon,20
134,1.4,0.5,1.4,Matthew Dellavedova,30
136,24.4,4.6,5.1,DeMar DeRozan,6
141,3.9,3.7,1.8,Gorgui Dieng,31
142,16.8,3.45,6.949999999999999,Spencer Dinwiddie,4
146,5.65,1.3,2.05,Goran Dragic,6
147,6.1,6.6,0.6,Andre Drummond,6
152,13.2,4.5,5.6,Kris Dunn,40
153,28.2,7.050000000000001,5.0,Kevin Durant,4
159,31.5,10.0,3.9,Joel Embiid,27
169,0.0,3.0,1.0,Derrick Favors,14
175,7.95,4.7,1.45,Dorian Finney-Smith,4
176,4.6,0.8,0.6,Bryn Forbes,22
177,6.1,1.8,1.5,Evan Fournier,24
182,1.7,1.0,0.0,Langston Galloway,15
186,5.5,3.1,1.0,Rudy Gay,40
189,23.1,6.1,5.1,Paul George,16
190,3.6,1.9,0.7,Taj Gibson,41
192,13.5,11.6,1.3,Rudy Gobert,22
195,15.5,6.4,2.8,Aaron Gordon,9
196,11.95,1.8,2.55,Eric Gordon,14
200,20.0,4.4,2.3,Jerami Grant,29
203,3.8,1.35,0.55,Danny Green,7
204,8.6,7.2,6.8,Draymond Green,11
206,6.2,3.4,0.9,JaMychal Green,11
207,6.9,2.3,1.1,Jeff Green,9
208,4.2,3.8,1.4,Blake Griffin,2
215,14.3,3.5,1.8,Tim Hardaway Jr.,8
216,20.5,6.0,10.0,James Harden,27
218,5.8,2.8,0.6,Montrezl Harrell,27
220,8.3,2.0,1.2,Gary Harris,26
221,7.3,2.2,1.3,Joe Harris,4
222,14.4,5.9,2.4,Tobias Harris,27
225,3.0,1.3,0.0,Udonis Haslem,20
227,14.5,4.3,4.0,Gordon Hayward,5
230,2.8,2.9,0.6,Juancho Hernangomez,38
231,7.5,5.0,0.9,Willy Hernangomez,23
236,16.5,4.9,2.8,Buddy Hield,15
237,5.1,1.75,2.15,George Hill,15
242,19.0,5.1,7.3,Jrue Holiday,21
243,4.550000000000001,1.35,0.95,Justin Holiday,1
246,3.3,2.0,0.2,Richaun Holmes,30
248,9.0,6.4,3.0,Al Horford,2
249,4.6,1.7,0.7,Danuel House Jr.,27
255,4.5,3.2,0.3,Serge Ibaka,21
256,2.1,2.1,2.4,Andre Iguodala,11
258,6.9,2.6,3.1,Joe Ingles,21
260,24.7,5.4,5.8,Brandon Ingram,23
261,26.75,5.0,5.6,Kyrie Irving,4
264,8.25,1.8,2.95,Reggie Jackson,9
265,27.5,8.5,6.6,LeBron James,17
274,2.9,1.7,0.8,James Johnson,15
276,5.45,4.1,1.6,Stanley Johnson,31
279,25.2,12.0,9.6,Nikola Jokic,9
281,3.5,2.95,0.44999999999999996,Damian Jones,17
283,4.8,2.3,0.5,Derrick Jones Jr.,6
285,9.6,2.6,5.0,Tyus Jones,19
286,4.9,5.0,0.9,DeAndre Jordan,9
287,7.0,1.6,3.5,Cory Joseph,10
290,2.25,1.6,1.05,Frank Kaminsky,14
308,24.3,4.4,4.1,Zach LaVine,6
310,5.0,3.0,2.0,Jake Layman,2
313,2.1,2.5,0.4,Alex Len,30
314,23.7,6.3,3.9,Kawhi Leonard,16
315,3.9,3.2,0.1,Meyers Leonard,21
317,12.3,3.8,3.8,Caris LeVert,7
319,31.3,4.7,7.2,Damian Lillard,29
322,7.0,9.8,2.6,Kevon Looney,11
323,15.7,6.5,1.2,Brook Lopez,21
325,2.9,1.4,0.5,Robin Lopez,7
326,7.85,6.1,1.65,Kevin Love,20
327,10.7,4.0,4.7,Kyle Lowry,20
329,8.0,4.3,1.3,Timothe Luwawu-Cabarrot,28
331,7.4,4.1,0.9,Trey Lyles,30
337,3.1,1.9,0.3,Boban Marjanovic,14
341,3.5,2.2,0.6,Wesley Matthews,21
347,20.3,4.3,5.6,CJ McCollum,23
348,8.5,3.2,5.3,T.J. McConnell,15
351,10.3,2.1,1.4,Doug McDermott,31
353,4.5,2.6,0.2,JaVale McGee,8
354,5.7,2.3,0.9,Rodney McGruder,10
361,16.2,4.5,5.1,Khris Middleton,21
365,5.7,1.1,1.3,Patty Mills,4
373,11.1,3.9,1.7,Marcus Morris Sr.,16
374,4.25,2.0,0.8,Markieff Morris,4
382,20.6,5.4,6.0,Dejounte Murray,1
